PC1,PC2,PC3
0.026500367,-0.035602506,0.015999418
0.040081527,-0.024131622,0.049425907
0.0062563666,0.031029042,-0.058422912
-0.08779124,-0.0639867,0.064036705
0.06487103,-0.016459195,-0.0871399
-0.03948558,-0.03280639,-0.042089917
0.09328243,0.04417806,0.050072428
0.0150594115,0.032693036,0.0056410097
-0.02223672,0.05697346,0.03287546
0.022805156,0.01969512,-0.014493687
0.044356603,0.080622904,-0.0027423122
-0.052757245,0.03297656,0.03382034
0.018723998,-0.019622663,0.066181615
0.07642348,-0.0016260098,-0.078820996
0.07865797,-0.014741756,0.0130549
-0.03383729,-0.037935343,-0.007520153
-0.019062065,-0.063375875,-0.01153804
0.010098962,0.009860132,-0.013683204
0.08993953,-0.011605412,-0.09050831
-0.05190289,-0.055331357,-0.06454976
-0.03400519,0.0013979247,-0.111258656
0.04775704,0.03935075,-0.019301374
0.00021325245,0.0520763,-0.04788584
-0.027282456,0.009860438,-0.060009494
0.030721974,-0.022187421,-0.038157724
-0.060963497,-0.021548718,-0.050806753
-0.027294522,-0.096285336,-0.04946948
-0.07558051,0.0029181857,0.0070651583
-0.058736786,-0.022784162,-0.053856984
0.0019302759,0.011216339,-0.065090306
0.07242784,0.010767652,-0.028910097
-0.06865939,-0.003495042,-0.04978544
0.042193703,0.028101979,-0.02613327
-0.036083803,-0.015200073,0.06478366
-0.01811132,-0.056743592,-0.09510625
-0.060228467,0.0017001091,0.025772344
-0.099053584,0.014764416,-0.013931257
0.02248417,0.03121804,-0.06462903
0.07287105,-0.03302539,-0.08976715
0.00028971024,0.044887178,0.038897406
-0.036483727,-0.055225182,0.14279005
-0.023589471,-0.010012682,0.0060373703
-0.08385758,0.03948051,-0.03126751
-0.01924317,-0.07351438,0.059268083
-0.084503755,0.029435879,0.122164056
0.05458413,0.012469047,-0.028329259
0.011518449,0.0062310104,0.07855037
-0.045865245,-0.03837102,-0.008466824
0.012627185,0.04138693,0.07966709
0.097441435,0.012112295,0.060449757
-0.06723131,0.034150835,-0.034902863
0.00020622974,-0.10948338,0.0020831227
0.019173713,-0.016986333,-0.026917491
0.034263387,-0.06620211,-0.016422916
0.014817977,-0.049534753,0.028080368
-0.030855112,-0.03431614,0.042543568
-0.0043555023,-0.06790824,-0.029914578
-0.060499076,0.033001587,0.010289828
0.08652229,0.017937224,-0.03801948
-0.0012512747,-0.02928471,0.009597134
-0.029088046,-0.01286267,-0.08496895
-0.05921542,0.03576086,0.0021288553
-0.054389134,-0.018704947,-0.018862838
0.008398347,0.042801775,-0.015134287
0.078099445,0.073281124,-0.002029648
0.103330165,-0.10378235,0.0058101467
0.06419366,-0.046788443,-0.029994417
0.050312053,0.087726265,0.024464738
-0.011233568,0.006578789,-0.046096925
-0.033039946,-0.061444204,-0.0045459587
0.033535752,-0.038800873,-0.05905374
-0.10439919,-0.0029142369,-0.010862294
-0.0031504354,0.001630788,-0.029026726
0.0650782,0.06273463,-0.027855162
-0.047887392,-0.008298287,-0.051482264
0.009945558,-0.12047359,-0.009277785
0.06489378,-0.07792473,0.004899837
0.13436937,0.033352688,0.022539845
-0.08262445,0.0025428939,0.012598548
-0.08054738,0.009640625,0.019488793
0.033579145,-0.09954033,0.0082869725
-0.021741105,-0.0747011,0.03511158
-0.07670206,0.03683644,-0.02594554
-0.008922412,-0.058199964,-0.113791466
0.009128111,0.014273181,0.08538148
0.016384006,0.0067044925,0.06734563
0.029746436,-0.027655084,0.069244415
-0.0370138,-0.04874646,-0.08371038
-0.013617346,-0.00969189,-0.020722236
-0.070089296,-0.027186206,0.0020412141
-0.05397833,0.0353527,0.009167227
0.024996724,-0.012484387,0.0012803935
-0.044534136,-0.04820511,0.0015568318
-0.0660078,0.036218036,-0.020265633
0.012734228,0.008786958,-0.026019141
-0.0005590097,-0.070109986,-0.11180538
0.03313853,0.115874484,0.11362025
-0.07503751,0.0437529,0.04470713
0.0065477705,-0.089426756,0.029645886
-0.03497047,-0.0504603,-0.035046235
0.057658464,0.020230358,0.029348101
-0.04045521,0.041720502,0.06559923
0.059178367,0.018288463,0.09799258
0.06376365,0.020246567,-0.049259547
-0.039743043,0.04856451,0.008863652
-0.050355654,-0.023457432,-0.017004559
-0.060319938,-0.054957476,-0.035341907
-0.018462386,-0.024429873,0.032396033
0.019090023,-0.031337433,0.049902465
-0.061603364,0.012721912,-0.09850954
0.041906133,0.01828272,0.034872636
0.061527703,-0.017098265,0.028692016
-0.01628993,0.04551919,-0.04872371
-0.01043433,0.00115206,-0.0411754
0.0913693,0.0012193338,-0.048613954
-0.08013411,-0.027202683,-0.02547415
0.032336567,-0.049829543,-0.00024252356
-0.035767905,-0.11551055,-0.0593479
0.044052128,0.037902303,0.038559478
-0.05794066,-0.053912688,-0.0063090893
-0.030979142,0.007120245,0.062414225
0.017808449,-0.0016905623,-0.10296044
0.032204673,-0.08271889,0.054686446
0.07507803,0.04405918,-0.017240798
-0.007861424,-0.0063881464,-0.011754279
-0.0016230578,0.0087364055,0.0048039705
-0.026043797,-0.039847147,-0.046393856
-0.04378208,0.011911699,-0.036796086
0.052842487,-0.046763167,-0.061917674
-0.06864637,-0.04269932,0.020432195
-0.032237317,0.0715252,0.013757367
-0.05141194,0.006473183,0.06213009
0.02322155,-0.008041819,-0.004753648
0.050656278,-0.011710509,-0.009794587
