k,inertia,silhouette,calinski_harabasz
2,35.68809376970189,0.5395185648834944,124.39071743944687
3,16.60424046197511,0.6128924938360565,201.53411528905883
4,12.229556668083806,0.6190392768446598,195.0863080769363
5,8.52891229496486,0.5163782750177967,220.83667459190102
6,6.711368143837057,0.5360083691793773,228.94860404287283
7,5.35987795039954,0.5179099024589138,241.7312448036593
8,4.426265378650178,0.5320755762336983,252.20387241169317
9,3.8551123539153163,0.4798204074746051,253.28089103331266
10,3.4177463701230693,0.45233820605846126,253.32845114454688
